From	To	Species	Gene Name
ENSBTAG00000042987	LOC112449168	Bos taurus	U8 small nucleolar RNA(LOC112449168)
ENSBTAG00000002050	COA7	Bos taurus	cytochrome c oxidase assembly factor 7(COA7)
ENSBTAG00000003381	TENT4A	Bos taurus	terminal nucleotidyltransferase 4A(TENT4A)
ENSBTAG00000003380	KCNK15	Bos taurus	potassium two pore domain channel subfamily K member 15(KCNK15)
ENSBTAG00000040329	HTR1D	Bos taurus	5-hydroxytryptamine receptor 1D(HTR1D)
ENSBTAG00000042982	LOC112444542	Bos taurus	U6 spliceosomal RNA(LOC112444542)
ENSBTAG00000042981	LOC112444242	Bos taurus	U6 spliceosomal RNA(LOC112444242)
ENSBTAG00000003384	CEP162	Bos taurus	centrosomal protein 162(CEP162)
ENSBTAG00000040320	LOC520402	Bos taurus	proteoglycan 3(LOC520402)
ENSBTAG00000002052	PLOD1	Bos taurus	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1(PLOD1)
ENSBTAG00000028682	LOC112444934	Bos taurus	5S ribosomal RNA(LOC112444934)
ENSBTAG00000003382	RIMS4	Bos taurus	regulating synaptic membrane exocytosis 4(RIMS4)
ENSBTAG00000002051	ARAP1	Bos taurus	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1(ARAP1)
ENSBTAG00000003389	AQP12	Bos taurus	aquaporin 12(AQP12)
ENSBTAG00000002058	ASF1A	Bos taurus	anti-silencing function 1A histone chaperone(ASF1A)
ENSBTAG00000042986	LOC112443648	Bos taurus	small nucleolar RNA SNORA16B/SNORA16A family(LOC112443648)
ENSBTAG00000026025	LOC519208	Bos taurus	fibronectin type III domain containing protein 3C1(LOC519208)
ENSBTAG00000003388	DPM2	Bos taurus	dolichyl-phosphate mannosyltransferase subunit 2, regulatory(DPM2)
ENSBTAG00000040321	SDR16C6	Bos taurus	short chain dehydrogenase/reductase family 16C, member 6(SDR16C6)
ENSBTAG00000042984	LOC112443906	Bos taurus	small nucleolar RNA SNORA38(LOC112443906)
ENSBTAG00000002056	MARS2	Bos taurus	methionyl-tRNA synthetase 2, mitochondrial(MARS2)
ENSBTAG00000003387	PIP5KL1	Bos taurus	phosphatidylinositol-4-phosphate 5-kinase like 1(PIP5KL1)
ENSBTAG00000002055	ZFP28	Bos taurus	ZFP28 zinc finger protein(ZFP28)
ENSBTAG00000027357	FGF22	Bos taurus	fibroblast growth factor 22(FGF22)
ENSBTAG00000002059	MCM9	Bos taurus	minichromosome maintenance 9 homologous recombination repair factor(MCM9)
ENSBTAG00000016691	LACC1	Bos taurus	laccase domain containing 1(LACC1)
ENSBTAG00000016695	KCNG4	Bos taurus	potassium voltage-gated channel modifier subfamily G member 4(KCNG4)
ENSBTAG00000015363	CDC42SE1	Bos taurus	CDC42 small effector 1(CDC42SE1)
ENSBTAG00000014032	EIF3H	Bos taurus	eukaryotic translation initiation factor 3 subunit H(EIF3H)
ENSBTAG00000015364	WNT1	Bos taurus	Wnt family member 1(WNT1)
ENSBTAG00000016694	KIAA0319L	Bos taurus	KIAA0319 like(KIAA0319L)
ENSBTAG00000014030	FGD6	Bos taurus	FYVE, RhoGEF and PH domain containing 6(FGD6)
ENSBTAG00000015361	CNTFR	Bos taurus	ciliary neurotrophic factor receptor(CNTFR)
ENSBTAG00000014031	TLR6	Bos taurus	toll like receptor 6(TLR6)
ENSBTAG00000016692	DSCAML1	Bos taurus	DS cell adhesion molecule like 1(DSCAML1)
ENSBTAG00000015362	BMP7	Bos taurus	bone morphogenetic protein 7(BMP7)
ENSBTAG00000039334	LOC786256	Bos taurus	high mobility group nucleosome-binding domain-containing protein 4(LOC786256)
ENSBTAG00000015368	SEPTIN4	Bos taurus	septin 4(SEPTIN4)
ENSBTAG00000016698	SLAMF8	Bos taurus	SLAM family member 8(SLAMF8)
ENSBTAG00000039335	ARRDC2	Bos taurus	arrestin domain containing 2(ARRDC2)
ENSBTAG00000039337	LOC100295883	Bos taurus	docosahexaenoic acid omega-hydroxylase CYP4F3(LOC100295883)
ENSBTAG00000016696	NCDN	Bos taurus	neurochondrin(NCDN)
ENSBTAG00000015366	SFRP4	Bos taurus	secreted frizzled related protein 4(SFRP4)
ENSBTAG00000039328	PURG	Bos taurus	purine rich element binding protein G(PURG)
ENSBTAG00000039329	RAET1G	Bos taurus	retinoic acid early transcript 1G(RAET1G)
ENSBTAG00000042977	LOC112448586	Bos taurus	U6 spliceosomal RNA(LOC112448586)
ENSBTAG00000042976	LOC112449451	Bos taurus	small nucleolar RNA SNORA70(LOC112449451)
ENSBTAG00000003392	GABRA5	Bos taurus	gamma-aminobutyric acid type A receptor subunit alpha5(GABRA5)
ENSBTAG00000002060	RPL19	Bos taurus	ribosomal protein L19(RPL19)
ENSBTAG00000003390	SF3A1	Bos taurus	splicing factor 3a subunit 1(SF3A1)
ENSBTAG00000040319	OR7A53	Bos taurus	olfactory receptor family 7 subfamily A member 53(OR7A53)
ENSBTAG00000003396	MAFB	Bos taurus	MAF bZIP transcription factor B(MAFB)
ENSBTAG00000027341	LOC615237	Bos taurus	serine protease 58(LOC615237)
ENSBTAG00000042971	LOC112444544	Bos taurus	U6 spliceosomal RNA(LOC112444544)
ENSBTAG00000002065	TFAP2C	Bos taurus	transcription factor AP-2 gamma(TFAP2C)
ENSBTAG00000003395	ZRANB1	Bos taurus	zinc finger RANBP2-type containing 1(ZRANB1)
ENSBTAG00000003394	RNF215	Bos taurus	ring finger protein 215(RNF215)
ENSBTAG00000002062	TRPA1	Bos taurus	transient receptor potential cation channel subfamily A member 1(TRPA1)
ENSBTAG00000003393	CCDC157	Bos taurus	coiled-coil domain containing 157(CCDC157)
ENSBTAG00000026011	LOC784970	Bos taurus	chromosome 29 open reading frame, human C11orf48 pseudogene(LOC784970)
